run_id,timestamp,final_reward,final_saved,final_killed,total_decisions
86,2025-07-30T17:15:27.972819,-17,1,18,41
87,2025-07-30T17:18:50.329654,-21,0,21,54
88,2025-07-30T17:19:23.096307,-16,2,18,44
89,2025-07-30T17:19:52.438094,-15,2,17,44
90,2025-07-30T17:20:26.370936,3,8,5,24
91,2025-07-30T17:20:44.699109,-14,0,14,29
92,2025-07-30T17:21:09.609888,-3,5,8,26
93,2025-07-30T17:21:27.370911,-13,0,13,41
94,2025-07-30T17:22:00.872469,-11,6,17,47
95,2025-07-30T17:22:38.776016,-19,0,19,48
96,2025-07-30T17:23:17.888399,-12,2,14,29
97,2025-07-30T17:23:40.300376,-14,0,14,43
98,2025-07-30T17:24:13.892204,-22,0,22,58
99,2025-07-30T17:25:05.383885,-8,8,16,49
100,2025-07-30T17:25:44.887656,-3,3,6,23
121,2025-07-30T17:51:43.654887,-13,0,13,38
122,2025-07-30T17:52:10.967505,6,10,4,42
123,2025-07-30T17:52:36.249892,4,10,6,44
124,2025-07-30T17:53:02.576039,-9,0,9,40
125,2025-07-30T17:53:26.491553,10,10,0,42
126,2025-07-30T17:53:51.950023,-7,1,8,34
127,2025-07-30T17:54:14.371410,-14,0,14,43
128,2025-07-30T17:54:44.764330,6,10,4,41
129,2025-07-30T17:55:10.294641,7,10,3,37
130,2025-07-30T17:55:35.995468,-15,0,15,41
131,2025-07-30T17:56:07.444104,8,10,2,40
132,2025-07-30T17:56:39.286002,7,10,3,41
133,2025-07-30T17:57:11.333068,7,10,3,40
134,2025-07-30T17:57:42.211790,-10,0,10,40
135,2025-07-30T17:59:00.007370,-11,0,11,40
136,2025-07-30T17:59:24.976887,13,13,0,31
137,2025-07-30T17:59:45.306410,7,10,3,42
138,2025-07-30T18:00:13.397185,7,10,3,40
139,2025-07-30T18:00:43.778267,6,10,4,27
140,2025-07-30T18:01:08.142367,4,10,6,28
